[]
[99, 13, -7.4, 20.82, 99, 'Dundo@Angola', -2.56, -37.97, 38.74, 38.33, -0.37, 272.04, -0.16, 0.61, 0.71]
[109, 7, -0.47, 39.63, 109, 'Garissa@Kenya', -14.34, -17.45, 4.34, 15.58, 0.92, 7.68, 0.71, 0.08, 0.41]
[140, 10, -0.1, 34.75, 140, 'Kisumu@Kenya', -50.52, -50.52, nan, 50.52, 1.5, -187.97, 0.93, 0.0, 0.22]
[154, 78, -3.23, 40.1, 154, 'Malindi@Kenya', -0.81, -16.05, 12.95, 14.42, 0.78, 50.07, 0.71, 0.0, 0.09]
[168, 50, -4.03, 39.62, 168, 'Mombasa-Airport@Kenya', -1.77, -18.0, 14.45, 16.22, 0.85, 33.17, 0.76, 0.0, 0.1]
[174, 120, -1.3, 36.75, 174, 'Nairobi@Kenya', 36.32, -15.67, 48.64, 42.32, 0.34, 180.49, 0.61, 0.0, 0.04]
[175, 110, -1.32, 36.92, 175, 'Nairobi-Airport@Kenya', 46.86, -8.34, 48.41, 47.31, 0.51, 149.65, 0.66, 0.0, 0.06]
[176, 1, -0.27, 36.07, 176, 'Nakuru@Kenya', -28.13, -28.13, nan, 28.13, nan, nan, 0.0, nan, nan]
[180, 1, -1.13, 35.83, 180, 'Narok@Kenya', 18.89, nan, 18.89, 18.89, nan, nan, 0.0, nan, nan]
[230, 126, -3.4, 38.57, 230, 'Voi@Kenya', 4.26, -22.13, 28.25, 25.34, 0.46, 131.21, 0.56, 0.0, 0.06]
[2004, 39, -12.35, 49.3, 2004, 'Diego-Suarez@Madagascar', 46.02, nan, 46.02, 46.02, 1.21, 4.3, 0.92, 0.0, 0.08]
[221, 32, -18.9, 47.53, 221, 'Antananarivo@Madagascar', 75.7, nan, 75.7, 75.7, 1.19, 47.38, 0.87, 0.0, 0.13]
[117, 2, -15.47, 36.98, 117, 'Gurue@Mozambique', -12.35, -12.35, nan, 12.35, 0.38, 127.44, 1.0, nan, nan]
[121, 96, -23.87, 35.38, 121, 'Inhambane@Mozambique', -5.87, -16.98, 14.4, 16.07, 1.08, -23.41, 0.94, 0.0, 0.04]
[144, 18, -13.28, 35.25, 144, 'Lichinga@Mozambique', 2.27, -15.56, 20.1, 17.83, 0.97, 9.72, 0.79, 0.0, 0.19]
[156, 115, -24.73, 33.53, 156, 'Maniquenique@Mozambique', 16.15, -8.81, 23.09, 19.98, 1.03, 9.78, 0.92, 0.0, 0.04]
[157, 186, -25.97, 32.6, 157, 'Maputo@Mozambique', -11.76, -18.74, 13.72, 17.66, 0.83, 25.13, 0.92, 0.0, 0.03]
[158, 63, -25.92, 32.57, 158, 'Maputo(Benfica)@Mozambique', 13.98, -8.51, 19.83, 17.5, 0.9, 33.91, 0.94, 0.0, 0.04]
[177, 169, -15.1, 39.28, 177, 'Nampula@Mozambique', -20.62, -26.21, 10.11, 23.73, 0.91, 1.05, 0.84, 0.0, 0.05]
[189, 174, -12.97, 40.5, 189, 'Pemba@Mozambique', -16.71, -22.94, 12.04, 21.0, 0.85, 20.23, 0.88, 0.0, 0.04]
[228, 3, -26.05, 32.38, 228, 'Umbeluzi@Mozambique', 43.78, nan, 43.78, 43.78, 2.02, -142.36, 0.98, 0.13, 0.43]
[2551, 5, -17.88, 36.88, 2551, 'Quelimane@Mozambique', -0.66, -12.09, 16.47, 13.84, 0.53, 123.11, 0.31, 0.61, 0.94]
[2552, 3, -25.03, 33.63, 2552, 'Xai-Xai@Mozambique', -16.2, -16.2, nan, 16.2, 0.94, -4.48, 0.98, 0.11, 0.17]
[68, 132, -19.83, 34.85, 68, 'Beira@Mozambique', -8.85, -17.87, 15.21, 17.14, 0.92, 9.95, 0.87, 0.0, 0.05]
[89, 116, -19.12, 33.47, 89, 'Chimoio@Mozambique', -22.65, -29.47, 10.1, 26.13, 0.77, 32.64, 0.84, 0.0, 0.05]
[90, 20, -24.53, 33.0, 90, 'Chokwe@Mozambique', -8.88, -20.55, 12.78, 17.83, 0.98, -4.37, 0.92, 0.0, 0.1]
[112, 123, -20.88, 55.52, 112, 'Gillot@Reunion', 8.73, -12.19, 20.8, 17.65, 1.35, -70.72, 0.96, 0.0, 0.04]
[2033, 36, -10.22, 31.13, 2033, 'Kasama@Sambia', 4.95, -17.16, 22.64, 20.2, 0.74, 68.88, 0.7, 0.0, 0.13]
[2034, 71, -11.1, 28.85, 2034, 'Mansa@Sambia', 25.21, -9.31, 30.87, 27.83, 0.75, 77.26, 0.68, 0.0, 0.1]
[2035, 39, -13.0, 28.65, 2035, 'Ndola@Sambia', 25.7, -7.44, 30.57, 27.61, 0.88, 51.88, 0.69, 0.0, 0.15]
[2036, 2, -13.27, 31.93, 2036, 'Mfuwe@Sambia', -7.95, -7.95, nan, 7.95, 16.47, -4440.01, 1.0, nan, nan]
[2037, 4, -15.25, 23.15, 2037, 'Mongu@Sambia', 15.38, -3.4, 34.16, 18.78, 0.55, 125.81, 0.23, 0.77, 1.62]
[2038, 42, -17.82, 25.82, 2038, 'Livingstone@Sambia', 14.82, -8.32, 24.08, 19.58, 1.27, -49.13, 0.87, 0.0, 0.11]
[256, 101, -15.42, 28.32, 256, 'Lusaka-City@Sambia', 11.94, -12.4, 21.28, 18.82, 1.15, -22.02, 0.85, 0.0, 0.07]
[2897, 41, -30.67, 24.0, 2897, 'De-Aar-(BSRN)@South-Africa', 4.64, -6.34, 14.12, 10.52, 1.03, -2.76, 0.98, 0.0, 0.03]
[114, 2, -1.67, 29.68, 114, 'Goma@Zaire', 7.18, -0.76, 15.12, 7.94, nan, nan, 0.0, nan, inf]
[122, 52, -1.97, 18.27, 122, 'Inongo@Zaire', -38.35, -46.71, 15.41, 42.5, -0.48, 246.87, -0.36, 0.01, 0.18]
[130, 55, -5.88, 22.42, 130, 'Kananga@Zaire', -3.48, -23.45, 22.3, 22.95, 0.12, 166.57, 0.09, 0.52, 0.19]
[137, 1, -2.95, 25.92, 137, 'Kindu@Zaire', -37.57, -37.57, nan, 37.57, nan, nan, 0.0, nan, nan]
[138, 66, -4.37, 15.25, 138, 'Kinshasa-Binza@Zaire', -10.28, -27.8, 40.19, 30.99, -0.72, 303.64, -0.46, 0.0, 0.17]
[76, 30, -0.22, 20.85, 76, 'Boende@Zaire', -18.54, -32.94, 21.05, 29.77, -0.12, 196.24, -0.07, 0.71, 0.33]
[118, 210, -17.83, 31.02, 118, 'Harare-Belvedere@Zimbabwe', 25.33, -12.41, 27.41, 26.63, 1.07, 10.22, 0.9, 0.0, 0.04]
[83, 226, -20.15, 28.62, 83, 'Bulawayo-Goetz-Obs.@Zimbabwe', 13.29, -8.92, 18.37, 16.61, 1.18, -27.93, 0.94, 0.0, 0.03]
